"id","description","status","priority","file","type","sources","merged_from","reopened_count","progress"
"14","KnowledgeStore — only 2-3 tests for 15+ methods","done","HIGH","","gap","P3","P3-GAP-2","0","done"
"15","Scheduler._task_reminder_check() — entirely untested","done","HIGH","","gap","P3","P3-GAP-3","0","done"
"16","Server endpoints (/api/chat, /api/webhook, /v1/chat/completions) — zero tests","done","HIGH","","gap","P3","P3-GAP-5","0","done"
"17","If `initialize()` was never called or `close()` was already called, every method crashes with `AttributeError: 'NoneType' object has no attribute 'execute'`.","done","HIGH","All","bug","P3","P3-BUG-99","0",""
"18","When building tool definitions for the LLM call, the MCP bridge method is called without any error handling:","done","HIGH","apex_brain/brain/conversation.py","bug","P6","P6-BUG-92","0",""
"19","If `start()` is called twice (e.g., due to retry logic, duplicate event subscriber creation, or a race during startup), the first `aiohttp.ClientSession` is silently overwritten without being closed. The old session's TCP connections leak permanently.","done","HIGH","apex_brain/brain/event_subscriber.py","bug","P5","P5-BUG-79","0",""
"20","`_handle_event()` is called with `await` inside the WebSocket message loop (line 164). If `conversation.handle()` takes 10-30 seconds (LLM + tool calls), ALL subsequent events queue up. During a burst of 50 events, the WebSocket buffer fills, backpressure delays event delivery, and the system falls behind real-time.","done","HIGH","apex_brain/brain/event_subscriber.py","bug","P4","P4-BUG-61","0",""
"21","The `ChatRequest` Pydantic model has `message: str` with no `max_length` constraint:","done","HIGH","apex_brain/brain/server.py","bug","P4","P4-BUG-63","0",""
"22","The server-level embed function accesses `response.data[0][""embedding""]` without checking if `response.data` is non-empty:","done","HIGH","apex_brain/brain/server.py","bug","P6","P6-BUG-94","0",""
"23","`lifespan` declares `global conversation, event_handler, startup_time` but does NOT include `scheduler` or `event_subscriber`. Lines 210 and 228 assign to local variables that shadow the module globals. Module-level globals remain `None`.","done","HIGH","apex_brain/brain/server.py","bug","P3","P3-BUG-95","0",""
"24","`_schema_lock = asyncio.Lock()` runs at import time, which on Python < 3.10 requires a running event loop. In some testing or import contexts, this raises `RuntimeError: no running event loop` or creates a lock bound to the wrong loop.","done","HIGH","apex_brain/brain/system_prompt.py","bug","P4","P4-BUG-66","0",""
"25","Four context-building blocks each catch `except Exception:`:","done","HIGH","apex_brain/memory/context_builder.py","bug","P9","P9-BUG-149","0",""
"26","`except (KeyError, Exception)` is equivalent to `except Exception` since `KeyError` is a subclass. This catches ALL exceptions during timezone creation — including `ImportError` (if `zoneinfo` is not installed), `RuntimeError`, and other unexpected errors. The code silently falls back to UTC when the real issue may be a broken Python installation or missing dependency.","done","HIGH","apex_brain/memory/context_builder.py","bug","P5","P5-BUG-81","0",""
"27","`EXTRACTION_PROMPT.format(conversation=convo_text)` at line 89 substitutes the `{conversation}` placeholder. If `convo_text` itself contains unescaped single braces — e.g., a user saying ""my regex is `{.*}`"" or ""set to `{value}`"" — Python's `str.format()` interprets those as format placeholders and raises `KeyError` or `ValueError`. The outer `except Exception` at line 199 catches this and returns `[]`, silently dropping ALL fact extraction for that conversation.","done","HIGH","apex_brain/memory/fact_extractor.py","bug","P8","P8-BUG-132","0",""
"28","Self-JOIN looks for `a.category = b.category AND a.key = b.key`, but `UNIQUE INDEX ON (category, key)` means this can never match. The Curator's contradiction resolution silently does nothing.","done","HIGH","apex_brain/memory/knowledge_store.py","bug","P3","P3-BUG-100","0",""
"29","The semantic search query has no LIMIT clause:","done","HIGH","apex_brain/memory/knowledge_store.py","bug","P9","P9-BUG-150","0",""
"30","When `correct_fact()` updates an existing fact (the `if existing:` branch at line 327), the UPDATE statement at lines 338-352 updates `value`, `confidence`, `embedding`, `updated_at`, and `last_mentioned_at` — but does NOT update the `source` column. The existing fact retains `source='auto'` (its original source). Meanwhile, `decay_confidence()` at line 399 skips decay only for `source='user'`. This means explicitly corrected facts will gradually lose confidence and eventually be pruned, defeati","done","HIGH","apex_brain/memory/knowledge_store.py","bug","P8","P8-BUG-131","0",""
"31","`correct_fact()` performs a SELECT (line 321) then an UPDATE (line 338) with no transaction protection. Between the SELECT and UPDATE, a concurrent async task could: 1. Delete the fact → UPDATE silently matches 0 rows, but the function returns ""Updated"" (false claim) 2. Insert a duplicate → the SELECT misses the new row, leading to a second INSERT via `store_fact()` at line 358 Compare with `store_fact()` at line 213 which correctly uses `BEGIN IMMEDIATE`. The ""force-update"" contract of `correct","done","HIGH","apex_brain/memory/knowledge_store.py","bug","P3,P6","P3-BUG-102,P6-BUG-93","0",""
"32","When `ha_request(""GET"", ""/states"")` returns an error dict (e.g., `{""error"": ""Cannot connect""}` from the ConnectError/TimeoutException handler at `ha_helpers.py:80-86`), the list comprehension iterates dict keys:","done","HIGH","apex_brain/tools/automation.py","bug","P9","P9-BUG-146","0",""
"33","For all-day events spanning multiple days, `start_info` contains a `date` key like `""2026-02-20""`. `_parse_event_dt(""2026-02-20"")` returns `datetime(2026, 2, 20, 0, 0)`. The filter at line 171 checks:","done","HIGH","apex_brain/tools/calendar_tool.py","bug","P9","P9-BUG-147","0",""
"34","```python def _today_date() -> _dt.date: return _dt.datetime.now().date()","done","HIGH","apex_brain/tools/calendar_tool.py","bug","P4","P4-BUG-65","0",""
"35","Handlers `_handle_rename` (line 84), `_handle_create_area` (line 161), `_handle_assign_area` (lines 99, 109), `_handle_disable` (line 124), `_handle_enable` (line 139) all call `await ws_command({...})` and then either call `.get()` on the result or ignore it entirely. If `ws_command()` raises an unexpected exception type not caught by `configure()`'s try/except (which only catches `RuntimeError`, `ConnectionError`, `PermissionError`, `TimeoutError` per BUG-42), or if it returns `None`, the `.ge","done","HIGH","apex_brain/tools/configure.py","bug","P5","P5-BUG-80","0",""
"36","try/except catches 4 specific types but not generic `Exception`. Unexpected errors propagate uncaught and leave `result` undefined for audit log.","done","HIGH","apex_brain/tools/configure.py","bug","P3","P3-BUG-101","0",""
"37","When `ZoneInfo` fails, the fallback uses `datetime.datetime.now()` (no timezone), producing a naive datetime. If this value is ever compared with timezone-aware datetimes elsewhere in the system, Python raises `TypeError: can't compare offset-naive and offset-aware datetimes`.","done","HIGH","apex_brain/tools/datetime_tool.py","bug","P4","P4-BUG-64","0",""
"38","HA accepts `entity_id` as string OR list. When the LLM passes `{""entity_id"": [""light.a"", ""light.b""]}`, `verify_generic(entity_id)` builds URL `/states/['light.a', 'light.b']` → 404. The service call succeeds but the user gets misleading error from verification.","done","HIGH","apex_brain/tools/generic.py","bug","P3","P3-BUG-96","0",""
"39","`response.raise_for_status()` is called UNCONDITIONALLY on line 93, even after logging the error. For non-2xx responses, it raises `httpx.HTTPStatusError` which propagates to ALL callers. Most callers (`_discover_entities`, `_discover_areas`, `_discover_devices`, `query()`, `history()`, etc.) do NOT catch `HTTPStatusError`. This is **distinct from** the `ConnectError`/`TimeoutException` paths (lines 80-86) which return error dicts. The `raise_for_status()` path throws an exception, not a dict.","done","HIGH","apex_brain/tools/ha_helpers.py","bug","P3","P3-BUG-98","0",""
"40","The `forget` tool calls:","done","HIGH","apex_brain/tools/knowledge.py","bug","P9","P9-BUG-148","0",""
"41","At line 489, `result = await handler(target, config)` is called without a try/except. If the handler raises (e.g., network error during `_handle_backup_create`, timeout during `_handle_restart_core`), the exception propagates past the audit log at lines 492-501. This means destructive operations (Tier 1/2) that fail are never recorded in the audit trail — exactly the cases that most need auditing.","done","HIGH","apex_brain/tools/manage.py","bug","P8","P8-BUG-134","0",""
"42","Slug from `target.split("":"", 1)[1]` interpolated directly into Supervisor URL `/addons/{slug}/update`. Crafted slug like `../../core/restart` could traverse paths.","done","HIGH","apex_brain/tools/manage.py","bug","P3","P3-BUG-97","0",""
"43","When `execute_tool()` catches an exception at line 220, it returns an error string but does NOT set `self._connected = False`. On subsequent calls, `execute_tool()` checks `self._connected` at line 204 and sees `True`, so it attempts `self._session.call_tool()` again — which will also fail because the session/transport is dead. This creates an infinite loop of failures with no recovery. There is also no reconnection logic anywhere in the class.","done","HIGH","apex_brain/tools/mcp_bridge.py","bug","P8","P8-BUG-133","0",""
"44","The `ws_command()` function catches `WSServerHandshakeError`, `ClientConnectorError`, and `asyncio.TimeoutError`, but misses: - `aiohttp.ClientOSError` (broken pipe, connection reset during `send_json`) - `aiohttp.ClientError` (generic aiohttp base exception) - `OSError` / `ConnectionResetError` (socket-level failures) These propagate as unexpected exceptions to `configure()`, which only catches `RuntimeError`, `ConnectionError`, `PermissionError`, `TimeoutError` (BUG-42).","done","HIGH","apex_brain/tools/ws_helpers.py","bug","P4","P4-BUG-62","0",""
"45","### TEST-GAP-13 — No tests for `correct_fact()` source/decay interaction  | File | Missing from `tests/test_knowledge_store.py` | |------|------|  The critical interaction between `correct_fact()` set","done","MEDIUM","","gap","P8","P8-TEST-GAP-13","0","done"
"46","### TEST-GAP-14 — No tests for `fact_extractor` with special characters in user content  | File | `tests/test_fact_extractor.py` (if exists) or missing | |------|------|  No test sends conversation tu","done","MEDIUM","","gap","P8","P8-TEST-GAP-14","0","done"
"47","14 tool modules have no test files","done","MEDIUM","","gap","P3","P3-GAP-8","0","done"
"48","DecisionEngine night-time scoring tests depend on wall clock — flaky","done","MEDIUM","","gap","P3","P3-GAP-9","0",""
"49","EventSubscriber reconnection, auth failure, URL derivation — untested","done","MEDIUM","","gap","P3","P3-GAP-6","0",""
"50","Every conversation turn is stored permanently via `save_turn()` and there is no mechanism to prune old entries. Unlike `knowledge_store` which has `cleanup_expired()` and `decay_confidence()`, the conversation store grows without bound. Over months of use, the SQLite database could grow to hundreds of MB, slowing queries and consuming disk space on embedded devices (Home Assistant often runs on RPis or NUCs with limited storage).","done","MEDIUM","apex_brain/memory/conversation_store.py","bug","P8","P8-BUG-142","0",""
"51","mock_embed returns identical vectors for ALL text — semantic search ranking untested","done","MEDIUM","apex_brain/tests/conftest.py","gap","P3","P3-GAP-7","0","done"
"52","Four independent connections to same DB. WAL allows only ONE writer. Under load: `database is locked`.","done","MEDIUM","All","bug","P3","P3-BUG-107","0",""
"53","In `_llm_call_with_retry()`, the for-loop either `return`s on success (line 209) or `raise`s on the final attempt (line 212). The code after the loop (line 222) is unreachable but contains `return await litellm.acompletion(**kwargs)` — if somehow reached, it would make a **duplicate billable API call**.","done","MEDIUM","apex_brain/brain/conversation.py","bug","P5","P5-BUG-82","0",""
"54","When the tool loop hits `max_iterations` (15), it returns a generic message without building/storing the action trace. The user has no explainability for what happened during those 15 iterations.","done","MEDIUM","apex_brain/brain/conversation.py","bug","P4","P4-BUG-68","0",""
"55","`Conversation` class spawns background fact extraction tasks (`asyncio.create_task`) into `_background_tasks` set, but has NO `shutdown()` method. Unlike `Scheduler.stop()` and `EventSubscriber.stop()`, Conversation's background tasks are never cancelled or awaited on shutdown.","done","MEDIUM","apex_brain/brain/conversation.py","bug","P4","P4-BUG-69","0",""
"56","`tool_calls: null` or provider-specific fields may break cross-provider LLM calls.","done","MEDIUM","apex_brain/brain/conversation.py:316,","bug","P3","P3-BUG-110","0","done"
"57","Reports `len(low_conf)` as pruned but doesn't track actual successful deletions.","done","MEDIUM","apex_brain/brain/curator.py","bug","P3","P3-BUG-119","0","done"
"58","```python try: keep_a = datetime.fromisoformat(ts_a) >= datetime.fromisoformat(ts_b) except (ValueError, TypeError): keep_a = ts_a >= ts_b","done","MEDIUM","apex_brain/brain/curator.py","bug","P9","P9-BUG-156","0","done"
"59","Cover (garage doors) passes hard filter but gets base score 0.3 — possibly below threshold.","done","MEDIUM","apex_brain/brain/decision_engine.py","bug","P3","P3-BUG-111","0","done"
"60","`_check_cooldown()` and `_set_cooldown()` are separate operations. Two concurrent event evaluations can both pass the cooldown check before either sets it: 1. Event A: `_check_cooldown(""light.kitchen"")` → True (no cooldown) 2. Event B: `_check_cooldown(""light.kitchen"")` → True (cooldown not set yet) 3. Event A: `_set_cooldown(""light.kitchen"")` 4. Event B: `_set_cooldown(""light.kitchen"")` — both processed This bypasses the cooldown mechanism under concurrent event load.","done","MEDIUM","apex_brain/brain/decision_engine.py","bug","P4","P4-BUG-71","0","done"
"61","```python if entity.startswith((""light."", ""switch."", ""media_player."")): return 0.25, ""low""","done","MEDIUM","apex_brain/brain/decision_engine.py","bug","P9","P9-BUG-153","0","done"
"62","`defaultdict(int)` initialized but never incremented or read. Dead code, but unbounded growth if ever used without cleanup.","done","MEDIUM","apex_brain/brain/decision_engine.py","bug","P3","P3-BUG-115","0","done"
"63","Both webhook and WebSocket event paths use same session_id. Concurrent events' conversation histories bleed together.","done","MEDIUM","apex_brain/brain/event_handler.py","bug","P3","P3-BUG-103","0","done"
"64","Every webhook event uses the same session_id:","done","MEDIUM","apex_brain/brain/event_handler.py","bug","P9","P9-BUG-151","0","done"
"65","`_is_high_priority()` determines priority but only populates `actions_taken` in the webhook response. No TTS/announcement is triggered despite `announce_on_events` and `announce_target` being configurable in `config.py`. The feature silently does nothing.","done","MEDIUM","apex_brain/brain/event_handler.py","bug","P7","P7-BUG-114","0",""
"66","During shutdown race, `self._session` could be closed before `ws_connect`. Produces confusing error logs.","done","MEDIUM","apex_brain/brain/event_subscriber.py","bug","P3","P3-BUG-114","0","done"
"67","When a `state_changed` event arrives with missing or empty `entity_id`, the code defaults to `""""`:","done","MEDIUM","apex_brain/brain/event_subscriber.py","bug","P6","P6-BUG-96","0",""
"68","The main loop iterates `self._tasks` directly:","done","MEDIUM","apex_brain/brain/scheduler.py","bug","P6","P6-BUG-98","0","done"
"69","The scheduler fires tasks via `asyncio.create_task()` and sets `next_run` before the task completes. Built-in briefing tasks are protected by `_last_fired_date` checks inside `_timed_briefing()`. But custom tasks registered via `scheduler.register()` have no such guard. If a task runs longer than its interval, it will overlap with itself.","done","MEDIUM","apex_brain/brain/scheduler.py","bug","P5","P5-BUG-83","0","done"
"70","The `/v1/chat/completions` endpoint extracts session_id from multiple untrusted sources:","done","MEDIUM","apex_brain/brain/server.py","bug","P4","P4-BUG-70","0","done"
"71","`search_semantic()` already falls back to `search_keyword()` internally when embeddings are unavailable (line 459: `return await self.search_keyword(query, limit)`). But `context_builder.build()` does its own explicit fallback:","done","MEDIUM","apex_brain/memory/context_builder.py","bug","P5","P5-BUG-86","0","done"
"72","The query at lines 101-104 selects all rows where `timestamp >= cutoff` with no LIMIT clause. If the user has had hundreds of conversations in 24 hours (or `since_hours` is set to a larger value), this loads ALL matching rows into memory at once. With long conversation content, this could consume significant memory and cause slow responses. Other methods (`get_recent`, `search`) correctly use LIMIT.","done","MEDIUM","apex_brain/memory/conversation_store.py","bug","P8","P8-BUG-136","0",""
"73","`save_turn()`, `get_recent()`, `search()`, and `get_turns_since()` all access `self._db.execute()` without checking if `self._db` is None. If `initialize()` was never called or `close()` was already called, any method call crashes with `AttributeError: 'NoneType' object has no attribute 'execute'`.","done","MEDIUM","apex_brain/memory/conversation_store.py","bug","P9","P9-BUG-152","0","done"
"74","The LLM is asked to return a JSON confidence value as a float, but there's no validation:","done","MEDIUM","apex_brain/memory/fact_extractor.py","bug","P6","P6-BUG-100","0","done"
"75","No LIMIT. O(N) numpy cosine similarity blocks event loop.","done","MEDIUM","apex_brain/memory/knowledge_store.py","bug","P3","P3-BUG-108","0","done"
"76","When `_check_duplicate()` finds a semantic match (similarity ≥ 0.92), the code at lines 270-277 just touches the existing fact's timestamp — it does NOT update the existing fact's key, value, or confidence. This means: - Existing: `key=""coffee preference""`, `value=""likes espresso""` - New: `key=""morning drink""`, `value=""prefers espresso shots""`, `confidence=0.95` - Result: The new fact's more specific key (""morning drink"") and updated value are silently discarded. Only the old fact's `last_mentio","done","MEDIUM","apex_brain/memory/knowledge_store.py","bug","P8","P8-BUG-137","0","done"
"77","When `data` is empty/None in `_embed_text()`, the code falls back to `np.array(response, dtype=np.float32)`, assuming the embed function returned a raw list of floats. If the embed function returns a complex object (LiteLLM response, dict, etc.), `np.array()` will create a 0-dimensional object array or raise `ValueError`, breaking downstream cosine similarity.","done","MEDIUM","apex_brain/memory/knowledge_store.py","bug","P5","P5-BUG-85","0","done"
"78","When `last_mentioned_at` has a non-UTC timezone (e.g., `2026-02-20T10:00:00+05:00`), the code uses `replace(tzinfo=timezone.utc)` which only applies to naive timestamps. For timezone-aware non-UTC timestamps, no conversion is performed. The subtraction `now - last_mentioned` then works correctly (Python handles timezone-aware arithmetic), BUT the `replace` branch for naive timestamps **overwrites** the timezone marker instead of converting:","done","MEDIUM","apex_brain/memory/knowledge_store.py","bug","P6","P6-BUG-101","0","done"
"79","`BEGIN IMMEDIATE` blocks all writers while `_check_duplicate()` scans up to 200 facts.","done","MEDIUM","apex_brain/memory/knowledge_store.py","bug","P3","P3-BUG-106","0","done"
"80","```python def _deserialize_embedding(blob: bytes) -> np.ndarray: dim = len(blob) // 4 return np.array(struct.unpack(f""{dim}f"", blob), dtype=np.float32)","done","MEDIUM","apex_brain/memory/knowledge_store.py","bug","P9","P9-BUG-155","0",""
"81","`delete_fact()` SELECTs the fact ID first, then DELETEs by ID. Between the SELECT and DELETE, another async task could delete the same fact. The DELETE then matches 0 rows, but the function still returns `True`, falsely claiming success.","done","MEDIUM","apex_brain/memory/knowledge_store.py","bug","P6","P6-BUG-99","0","done"
"82","Both methods UPDATE `last_mentioned_at` after every search. This adds write pressure to every context build — conceptually a read operation.","done","MEDIUM","apex_brain/memory/knowledge_store.py:512-521,","bug","P3","P3-BUG-113","0","done"
"83","`save_routine()` checks if a routine exists with SELECT (line 64), then either UPDATEs (line 71) or INSERTs (line 79). No transaction protects this sequence. Two concurrent calls with the same name can both pass the SELECT, both attempt INSERT, and one hits a UNIQUE constraint violation. The table has `UNIQUE COLLATE NOCASE` on `name`, so the second INSERT will raise `IntegrityError` rather than creating a duplicate — but this exception propagates unhandled and crashes the caller.","done","MEDIUM","apex_brain/memory/routine_store.py","bug","P6","P6-BUG-95","0",""
"84","The test checks that the error message contains ""restricted"" and ""Tier 0"", but never asserts that `ws_command` was NOT called. If the code has a permission bypass bug where it returns the error string but still executes the action, this test passes.","done","MEDIUM","apex_brain/tests/test_configure.py","bug","P4","P4-BUG-73","0",""
"85","The test mocks `_get_token()` to return `None`, which causes `_connect_and_listen()` to return early (sleep + return) WITHOUT resetting `_msg_id`. The assertion `assert subscriber._msg_id == 0` checks the initial state, not the reset behavior. The test never exercises the actual msg_id reset code path.","done","MEDIUM","apex_brain/tests/test_event_subscriber.py","bug","P4","P4-BUG-72","0","done"
"86","Inside `create_automation()`, the search-before-create does:","done","MEDIUM","apex_brain/tools/automation.py","bug","P9","P9-BUG-157","0",""
"87","Filter checks `today_start <= start_dt <= today_end`, excluding ongoing multi-day events.","done","MEDIUM","apex_brain/tools/calendar_tool.py","bug","P3","P3-BUG-105","0","done"
"88","`dt.replace(tzinfo=None)` strips timezone. UTC timestamps treated as local time. Wrong day for users west of UTC.","done","MEDIUM","apex_brain/tools/calendar_tool.py","bug","P3","P3-BUG-104","0","done"
"89","`dt.strftime(""%I:%M %p"").lstrip(""0"")` uses `lstrip` which strips ALL leading characters that are in the given set, not just the first one. For `""09:00 AM""`, it strips both the `0` and the `9` would remain since it's not `0`. Actually `lstrip(""0"")` strips consecutive `0`s from the left — so `""09:00 AM""` → `""9:00 AM""` (correct) and `""12:30 PM""` → `""12:30 PM""` (correct). However, if the format ever produced `""00:30 AM""` (which `%I` doesn't — it produces `""12:30 AM""` instead), `lstrip(""0"")` would pr","done","MEDIUM","apex_brain/tools/calendar_tool.py","bug","P5","P5-BUG-84","0",""
"90","`eid = entity_ids[0]` at line 365 always picks the first calendar entity. If the user has `calendar.personal`, `calendar.work`, and `calendar.family`, events are always created on whichever appears first. There is no `calendar_entity_id` parameter to let the user (or AI model) choose.","done","MEDIUM","apex_brain/tools/calendar_tool.py","bug","P8","P8-BUG-140","0",""
"91","`total_w += p[""value_w""]` at line 357 sums ALL power readings indiscriminately: solar generation (producing 5 kW), grid import (consuming 2 kW), individual device consumption (using 500 W), and grid export (exporting 3 kW). The total is meaningless — it might show ""10.5 kW"" when the house is actually consuming only 2 kW net. The code already categorizes sensors with indicators like ""(generating)"", ""(from grid)"", ""(exporting)"" at lines 338-352 but ignores these categories in the sum.","done","MEDIUM","apex_brain/tools/energy.py","bug","P8","P8-BUG-135","0",""
"92","The `except Exception` at line 485 catches ALL errors from `read_state()` — including `httpx.ConnectError`, `httpx.TimeoutException`, and other transient network errors. It then falls through to return ""Entity '{entity_id}' not found"" at lines 510-513. This tells the user (and the AI model) that the entity doesn't exist, when it actually does — HA is just temporarily unreachable. The AI may then make incorrect decisions based on this false ""not found"" response.","done","MEDIUM","apex_brain/tools/generic.py","bug","P8","P8-BUG-138","0",""
"93","When `httpx.ConnectError` or `httpx.TimeoutException` is caught at lines 80-86, `ha_request` returns a normal dict like `{""error"": ""Cannot connect...""}`. Callers that expect a list (e.g., `_discover_entities` checking `isinstance(states, list)`) gracefully degrade, but callers that expect a dict with specific keys silently get wrong data. For example, `read_state()` returns this error dict, and callers do `state.get(""state"", ""unknown"")` → ""unknown"" with no error indication. `state.get(""attribute","done","MEDIUM","apex_brain/tools/ha_helpers.py","bug","P8","P8-BUG-139","0",""
"94","`httpx.AsyncClient()` at import time. Connection pool issues if process forks (uvicorn workers).","done","MEDIUM","apex_brain/tools/ha_helpers.py","bug","P3","P3-BUG-116","0","done"
"95","After `_supervisor_request(""GET"", path, as_text=True)`, the code checks `isinstance(result, dict) and ""error"" in result`. But `as_text=True` returns a plain string on error (line 114: `return f""Error fetching text: HTTP {response.status_code}""`), never a dict. Errors are displayed as log content.","done","MEDIUM","apex_brain/tools/manage.py","bug","P7","P7-BUG-112","0",""
"96","Module-level `httpx.AsyncClient` with no shutdown hook.","done","MEDIUM","apex_brain/tools/manage.py","bug","P3","P3-BUG-109","0","done"
"97","After disconnect, `_tools` and `_tool_names` still hold old data. LLM keeps calling failed tools.","done","MEDIUM","apex_brain/tools/mcp_bridge.py","bug","P3","P3-BUG-112","0","done"
"98","`len(streams) >= 2` assumes `__aenter__` returns indexable tuple. SDK changes could break.","done","MEDIUM","apex_brain/tools/mcp_bridge.py","bug","P3","P3-BUG-118","0","done"
"99","`entity_id.replace(""notify."", """", 1)` removes the first occurrence of `""notify.""` ANYWHERE in the string, not just at the start. A malformed ID like `""bad.notify.something""` would produce `""bad.something""`.","done","MEDIUM","apex_brain/tools/notify.py","bug","P7","P7-BUG-117","0",""
"100","`service_name = entity_id.replace(""notify."", """", 1)` doesn't validate prefix. Alexa Media notify may not support entity-based `send_message`.","done","MEDIUM","apex_brain/tools/notify.py","bug","P3","P3-BUG-117","0",""
"101","```python step_list = [ s.strip() for s in steps.replace(""\n"", ""."").split(""."") if s.strip() ]","done","MEDIUM","apex_brain/tools/routines.py","bug","P9","P9-BUG-154","0",""
"102","If `area_name=""""` (empty string), `search = """".lower()` → `""""`, and `"""" in human_lower` is **always True** in Python. So `substring_match` is set to the first area in the list, and the function controls that random area.","done","MEDIUM","apex_brain/tools/smart_home.py","bug","P4","P4-BUG-67","0",""
"103","`control_area` provides area-name-to-area_id fuzzy matching (""basement"" → area_id). `do()` requires the caller to already know the `area_id`. Hiding `control_area` means the LLM can't handle ""turn off lights in the basement"" without first calling `discover(what='areas')` — a UX regression.","done","MEDIUM","apex_brain/tools/smart_home.py","bug","P7","P7-BUG-119","0",""
"104","Uses `""item"": item` (name-based matching) for update/remove. Newer HA versions and some todo integrations require UID-based identification. Complete and remove operations may silently fail.","done","MEDIUM","apex_brain/tools/todo.py","bug","P7","P7-BUG-118","0",""
